district,tehsil,locale,sex,age_group,total_pop,illiterate,literate_total,literate_formal,literate_non_or_informal,literacy_ratio
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,20  --  24,,,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,25  --  29,2,1,1,1,,50
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,30  --  34,1,,1,1,,100
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,35  --  39,,,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,40  --  44,3,,3,3,,100
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,45  --  49,3,3,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,50  --  54,1,1,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,55  --  59,,,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,60  --  64,2,2,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,65  --  69,,,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,70  --  74,,,,,,
NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,Urban,Transgender,75 AND ABOVE,1,1,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,10  --  14,9655,776,8879,8873,6,91.95999999999999
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,15  --  19,9144,1018,8126,8115,11,88.87
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,20  --  24,8056,1336,6720,6704,16,83.42
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,25  --  29,6159,1300,4859,4834,25,78.89
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,30  --  34,5756,1311,4445,4424,21,77.22
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,35  --  39,5298,1295,4003,3977,26,75.56
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,40  --  44,4349,1095,3254,3239,15,74.81999999999999
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,45  --  49,3580,1130,2450,2439,11,68.44
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,50  --  54,3562,1261,2301,2285,16,64.59999999999999
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,55  --  59,2544,919,1625,1615,10,63.88
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,60  --  64,2134,895,1239,1225,14,58.06
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,65  --  69,1404,721,683,672,11,48.65
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,70  --  74,1446,796,650,636,14,44.95
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Male,75 AND ABOVE,1818,1185,633,614,19,34.82
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,10  --  14,9020,786,8234,8229,5,91.29000000000001
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,15  --  19,8656,1122,7534,7524,10,87.04000000000001
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,20  --  24,8237,1532,6705,6684,21,81.40000000000001
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,25  --  29,7115,1860,5255,5226,29,73.86
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,30  --  34,5936,1885,4051,4023,28,68.23999999999999
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,35  --  39,5244,2062,3182,3150,32,60.68
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,40  --  44,4335,2081,2254,2234,20,52
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,45  --  49,3484,1985,1499,1474,25,43.03
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,50  --  54,3082,1983,1099,1077,22,35.66
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,55  --  59,2212,1516,696,686,10,31.46
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,60  --  64,1798,1329,469,452,17,26.08
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,65  --  69,1314,1065,249,228,21,18.95
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,70  --  74,1142,992,150,143,7,13.13
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Female,75 AND ABOVE,1416,1242,174,148,26,12.29
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,10  --  14,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,15  --  19,2,1,1,1,,50
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,20  --  24,1,,1,1,,100
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,25  --  29,3,1,2,2,,66.67
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,30  --  34,1,,1,1,,100
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,35  --  39,2,1,1,1,,50
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,40  --  44,4,2,2,2,,50
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,45  --  49,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,50  --  54,1,1,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,55  --  59,2,2,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,60  --  64,2,2,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,65  --  69,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,70  --  74,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Rural,Transgender,75 AND ABOVE,1,1,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,10  --  14,4184,508,3676,3670,6,87.86
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,15  --  19,3976,607,3369,3354,15,84.73
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,20  --  24,3566,712,2854,2826,28,80.03
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,25  --  29,2967,663,2304,2291,13,77.65000000000001
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,30  --  34,2616,586,2030,2008,22,77.59999999999999
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,35  --  39,2301,532,1769,1762,7,76.88
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,40  --  44,1911,458,1453,1432,21,76.03
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,45  --  49,1607,450,1157,1141,16,72
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,50  --  54,1545,462,1083,1065,18,70.09999999999999
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,55  --  59,1141,374,767,753,14,67.22
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,60  --  64,841,292,549,540,9,65.28
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,65  --  69,475,164,311,308,3,65.47
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,70  --  74,387,183,204,199,5,52.71
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Male,75 AND ABOVE,474,253,221,211,10,46.62
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,10  --  14,3844,511,3333,3326,7,86.70999999999999
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,15  --  19,3647,616,3031,3022,9,83.11
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,20  --  24,3531,760,2771,2753,18,78.48
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,25  --  29,3338,928,2410,2381,29,72.2
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,30  --  34,2632,752,1880,1862,18,71.43000000000001
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,35  --  39,2273,772,1501,1475,26,66.04000000000001
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,40  --  44,1893,735,1158,1136,22,61.17
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,45  --  49,1553,710,843,829,14,54.28
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,50  --  54,1367,656,711,691,20,52.01
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,55  --  59,902,497,405,396,9,44.9
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,60  --  64,642,368,274,247,27,42.68
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,65  --  69,464,335,129,125,4,27.8
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,70  --  74,326,261,65,57,8,19.94
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Female,75 AND ABOVE,414,337,77,68,9,18.6
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,10  --  14,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,15  --  19,1,1,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,20  --  24,3,1,2,2,,66.67
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,25  --  29,5,2,3,3,,60
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,30  --  34,3,1,2,1,1,66.67
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,35  --  39,1,,1,1,,100
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,40  --  44,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,45  --  49,3,3,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,50  --  54,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,55  --  59,1,1,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,60  --  64,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,65  --  69,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,70  --  74,,,,,,
NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,Urban,Transgender,75 AND ABOVE,1,1,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,10  --  14,31276,6017,25259,25113,146,80.76000000000001
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,15  --  19,28661,6787,21874,21676,198,76.31999999999999
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,20  --  24,26266,7186,19080,18858,222,72.64
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,25  --  29,21528,6748,14780,14561,219,68.65000000000001
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,30  --  34,18253,6156,12097,11875,222,66.27
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,35  --  39,15970,5942,10028,9828,200,62.79
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,40  --  44,13346,5479,7867,7688,179,58.95
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,45  --  49,10239,4697,5542,5371,171,54.13
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,50  --  54,9279,4659,4620,4483,137,49.79
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,55  --  59,6247,3232,3015,2914,101,48.26
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,60  --  64,5044,2686,2358,2263,95,46.75
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,65  --  69,3217,1931,1286,1227,59,39.98
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,70  --  74,2568,1640,928,876,52,36.14
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Male,75 AND ABOVE,3126,2186,940,870,70,30.07
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,10  --  14,29167,5384,23783,23691,92,81.54000000000001
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,15  --  19,26048,5589,20459,20319,140,78.54000000000001
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,20  --  24,25059,7370,17689,17437,252,70.59
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,25  --  29,20988,7482,13506,13225,281,64.34999999999999
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,30  --  34,17659,7452,10207,9960,247,57.8
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,35  --  39,14478,7218,7260,7033,227,50.15
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,40  --  44,11733,6773,4960,4761,199,42.27
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,45  --  49,8889,5818,3071,2920,151,34.55
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,50  --  54,7659,5390,2269,2102,167,29.63
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,55  --  59,5063,3793,1270,1153,117,25.08
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,60  --  64,4135,3282,853,738,115,20.63
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,65  --  69,2702,2220,482,403,79,17.84
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,70  --  74,2019,1738,281,221,60,13.92
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Female,75 AND ABOVE,2604,2187,417,339,78,16.01
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,10  --  14,,,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,15  --  19,2,1,1,1,,50
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,20  --  24,7,3,4,4,,57.14
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,25  --  29,7,3,4,4,,57.14
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,30  --  34,6,4,2,2,,33.33
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,35  --  39,10,6,4,4,,40
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,40  --  44,6,4,2,2,,33.33
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,45  --  49,1,1,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,50  --  54,1,1,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,55  --  59,1,,1,1,,100
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,60  --  64,3,2,1,1,,33.33
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,65  --  69,1,,1,,1,100
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,70  --  74,1,1,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Rural,Transgender,75 AND ABOVE,1,,1,1,,100
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,10  --  14,16981,2920,14061,14006,55,82.8
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,15  --  19,15846,3833,12013,11953,60,75.81
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,20  --  24,14587,3774,10813,10709,104,74.13
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,25  --  29,12141,3581,8560,8480,80,70.5
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,30  --  34,10470,3251,7219,7145,74,68.95
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,35  --  39,8883,2983,5900,5803,97,66.42
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,40  --  44,7556,2761,4795,4714,81,63.46
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,45  --  49,5765,2334,3431,3358,73,59.51
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,50  --  54,5046,2275,2771,2716,55,54.91
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,55  --  59,3566,1584,1982,1945,37,55.58
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,60  --  64,2903,1354,1549,1512,37,53.36
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,65  --  69,1870,967,903,873,30,48.29
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,70  --  74,1396,793,603,581,22,43.19
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Male,75 AND ABOVE,1561,910,651,618,33,41.7
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,10  --  14,15967,2492,13475,13427,48,84.39
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,15  --  19,14519,2929,11590,11531,59,79.83
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,20  --  24,14099,3740,10359,10255,104,73.47
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,25  --  29,12127,3741,8386,8281,105,69.15000000000001
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,30  --  34,10270,3677,6593,6494,99,64.2
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,35  --  39,8149,3475,4674,4593,81,57.36
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,40  --  44,6826,3423,3403,3316,87,49.85
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,45  --  49,5002,2902,2100,2039,61,41.98
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,50  --  54,4516,2787,1729,1666,63,38.29
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,55  --  59,2778,1845,933,879,54,33.59
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,60  --  64,2423,1750,673,625,48,27.78
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,65  --  69,1463,1087,376,342,34,25.7
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,70  --  74,1047,830,217,182,35,20.73
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Female,75 AND ABOVE,1357,1055,302,271,31,22.25
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,10  --  14,,,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,15  --  19,3,,3,2,1,100
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,20  --  24,6,5,1,1,,16.67
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,25  --  29,9,4,5,5,,55.56
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,30  --  34,3,2,1,1,,33.33
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,35  --  39,7,3,4,4,,57.14
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,40  --  44,3,2,1,,1,33.33
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,45  --  49,7,5,2,1,1,28.57
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,50  --  54,,,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,55  --  59,2,2,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,60  --  64,2,2,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,65  --  69,1,1,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,70  --  74,2,2,,,,
SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,Urban,Transgender,75 AND ABOVE,3,3,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,10  --  14,27994,4997,22997,22907,90,82.15000000000001
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,15  --  19,24013,5183,18830,18707,123,78.42
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,20  --  24,20254,5239,15015,14838,177,74.13
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,25  --  29,16135,4920,11215,11054,161,69.51000000000001
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,30  --  34,13834,4569,9265,9111,154,66.97
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,35  --  39,12482,4559,7923,7787,136,63.48
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,40  --  44,10270,4196,6074,5923,151,59.14
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,45  --  49,8155,3893,4262,4136,126,52.26
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,50  --  54,7739,4026,3713,3610,103,47.98
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,55  --  59,5144,2751,2393,2318,75,46.52
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,60  --  64,4280,2432,1848,1764,84,43.18
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,65  --  69,3017,1855,1162,1110,52,38.52
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,70  --  74,2769,1826,943,890,53,34.06
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Male,75 AND ABOVE,3629,2653,976,896,80,26.89
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,10  --  14,25878,4507,21371,21299,72,82.58
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,15  --  19,23136,4851,18285,18166,119,79.03
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,20  --  24,19997,5841,14156,13974,182,70.79000000000001
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,25  --  29,16362,6212,10150,9957,193,62.03
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,30  --  34,14053,6415,7638,7457,181,54.35
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,35  --  39,11919,6589,5330,5150,180,44.72
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,40  --  44,9478,5941,3537,3351,186,37.32
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,45  --  49,7469,5460,2009,1877,132,26.9
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,50  --  54,6429,4940,1489,1377,112,23.16
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,55  --  59,4306,3428,878,784,94,20.39
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,60  --  64,3691,3089,602,515,87,16.31
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,65  --  69,2637,2284,353,290,63,13.39
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,70  --  74,2148,1926,222,182,40,10.34
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Female,75 AND ABOVE,2729,2430,299,229,70,10.96
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,10  --  14,,,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,15  --  19,5,,5,5,,100
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,20  --  24,4,3,1,1,,25
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,25  --  29,3,1,2,1,1,66.67
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,30  --  34,1,1,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,35  --  39,3,1,2,2,,66.67
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,40  --  44,2,2,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,45  --  49,2,1,1,1,,50
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,50  --  54,2,,2,1,1,100
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,55  --  59,1,,1,1,,100
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,60  --  64,1,1,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,65  --  69,,,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,70  --  74,,,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Rural,Transgender,75 AND ABOVE,1,1,,,,
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,10  --  14,12769,1123,11646,11635,11,91.20999999999999
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,15  --  19,11763,1491,10272,10258,14,87.31999999999999
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,20  --  24,10738,1681,9057,9027,30,84.34999999999999
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,25  --  29,8640,1592,7048,7006,42,81.56999999999999
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,30  --  34,7412,1485,5927,5901,26,79.95999999999999
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,35  --  39,6546,1450,5096,5071,25,77.84999999999999
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,40  --  44,5672,1438,4234,4202,32,74.65000000000001
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,45  --  49,4460,1311,3149,3126,23,70.61
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,50  --  54,4097,1417,2680,2655,25,65.41
SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,Urban,Male,55  --  59,2825,949,1876,1860,16,66.41
