district,localities,hhsize,avg_rooms_per_house
KAMBAR SHAHDAD KOT DISTRICT,URBAN,7 PERSONS,1.84
KAMBAR SHAHDAD KOT DISTRICT,URBAN,8 PERSONS,1.93
KAMBAR SHAHDAD KOT DISTRICT,URBAN,9 PERSONS,2.03
KAMBAR SHAHDAD KOT DISTRICT,URBAN,10 PERSONS AND ABOVE,2.38
KARACHI CENTRAL DISTRICT,RURAL,1 PERSON,
KARACHI CENTRAL DISTRICT,RURAL,2 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,3 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,4 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,5 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,6 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,7 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,8 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,9 PERSONS,
KARACHI CENTRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,
KARACHI CENTRAL DISTRICT,URBAN,1 PERSON,2.02
KARACHI CENTRAL DISTRICT,URBAN,2 PERSONS,2.26
KARACHI CENTRAL DISTRICT,URBAN,3 PERSONS,2.33
KARACHI CENTRAL DISTRICT,URBAN,4 PERSONS,2.46
KARACHI CENTRAL DISTRICT,URBAN,5 PERSONS,2.6
KARACHI CENTRAL DISTRICT,URBAN,6 PERSONS,2.7
KARACHI CENTRAL DISTRICT,URBAN,7 PERSONS,2.77
KARACHI CENTRAL DISTRICT,URBAN,8 PERSONS,2.89
KARACHI CENTRAL DISTRICT,URBAN,9 PERSONS,3.07
KARACHI CENTRAL DISTRICT,URBAN,10 PERSONS AND ABOVE,3.93
KARACHI EAST DISTRICT,RURAL,1 PERSON,
KARACHI EAST DISTRICT,RURAL,2 PERSONS,
KARACHI EAST DISTRICT,RURAL,3 PERSONS,
KARACHI EAST DISTRICT,RURAL,4 PERSONS,
KARACHI EAST DISTRICT,RURAL,5 PERSONS,
KARACHI EAST DISTRICT,RURAL,6 PERSONS,
KARACHI EAST DISTRICT,RURAL,7 PERSONS,
KARACHI EAST DISTRICT,RURAL,8 PERSONS,
KARACHI EAST DISTRICT,RURAL,9 PERSONS,
KARACHI EAST DISTRICT,RURAL,10 PERSONS AND ABOVE,
KARACHI EAST DISTRICT,URBAN,1 PERSON,2.39
KARACHI EAST DISTRICT,URBAN,2 PERSONS,2.68
KARACHI EAST DISTRICT,URBAN,3 PERSONS,2.72
KARACHI EAST DISTRICT,URBAN,4 PERSONS,2.85
KARACHI EAST DISTRICT,URBAN,5 PERSONS,2.95
KARACHI EAST DISTRICT,URBAN,6 PERSONS,2.99
KARACHI EAST DISTRICT,URBAN,7 PERSONS,2.99
KARACHI EAST DISTRICT,URBAN,8 PERSONS,3
KARACHI EAST DISTRICT,URBAN,9 PERSONS,3.15
KARACHI EAST DISTRICT,URBAN,10 PERSONS AND ABOVE,3.75
KARACHI SOUTH DISTRICT,RURAL,1 PERSON,
KARACHI SOUTH DISTRICT,RURAL,2 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,3 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,4 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,5 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,6 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,7 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,8 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,9 PERSONS,
KARACHI SOUTH DISTRICT,RURAL,10 PERSONS AND ABOVE,
KARACHI SOUTH DISTRICT,URBAN,1 PERSON,2.2
KARACHI SOUTH DISTRICT,URBAN,2 PERSONS,2.25
KARACHI SOUTH DISTRICT,URBAN,3 PERSONS,2.26
KARACHI SOUTH DISTRICT,URBAN,4 PERSONS,2.36
KARACHI SOUTH DISTRICT,URBAN,5 PERSONS,2.48
KARACHI SOUTH DISTRICT,URBAN,6 PERSONS,2.58
KARACHI SOUTH DISTRICT,URBAN,7 PERSONS,2.67
KARACHI SOUTH DISTRICT,URBAN,8 PERSONS,2.81
KARACHI SOUTH DISTRICT,URBAN,9 PERSONS,2.99
KARACHI SOUTH DISTRICT,URBAN,10 PERSONS AND ABOVE,3.67
KARACHI WEST DISTRICT,RURAL,1 PERSON,1.53
KARACHI WEST DISTRICT,RURAL,2 PERSONS,1.68
KARACHI WEST DISTRICT,RURAL,3 PERSONS,1.78
KARACHI WEST DISTRICT,RURAL,4 PERSONS,1.91
KARACHI WEST DISTRICT,RURAL,5 PERSONS,2.05
KARACHI WEST DISTRICT,RURAL,6 PERSONS,2.14
KARACHI WEST DISTRICT,RURAL,7 PERSONS,2.29
KARACHI WEST DISTRICT,RURAL,8 PERSONS,2.44
KARACHI WEST DISTRICT,RURAL,9 PERSONS,2.63
KARACHI WEST DISTRICT,RURAL,10 PERSONS AND ABOVE,3.4
KARACHI WEST DISTRICT,URBAN,1 PERSON,1.67
KARACHI WEST DISTRICT,URBAN,2 PERSONS,1.83
KARACHI WEST DISTRICT,URBAN,3 PERSONS,1.92
KARACHI WEST DISTRICT,URBAN,4 PERSONS,2.03
KARACHI WEST DISTRICT,URBAN,5 PERSONS,2.17
KARACHI WEST DISTRICT,URBAN,6 PERSONS,2.31
KARACHI WEST DISTRICT,URBAN,7 PERSONS,2.45
KARACHI WEST DISTRICT,URBAN,8 PERSONS,2.61
KARACHI WEST DISTRICT,URBAN,9 PERSONS,2.81
KARACHI WEST DISTRICT,URBAN,10 PERSONS AND ABOVE,3.6
KARAK DISTRICT,RURAL,1 PERSON,2.15
KARAK DISTRICT,RURAL,2 PERSONS,2.12
KARAK DISTRICT,RURAL,3 PERSONS,2.38
KARAK DISTRICT,RURAL,4 PERSONS,2.53
KARAK DISTRICT,RURAL,5 PERSONS,2.77
KARAK DISTRICT,RURAL,6 PERSONS,2.99
KARAK DISTRICT,RURAL,7 PERSONS,3.22
KARAK DISTRICT,RURAL,8 PERSONS,3.46
KARAK DISTRICT,RURAL,9 PERSONS,3.68
KARAK DISTRICT,RURAL,10 PERSONS AND ABOVE,4.95
KARAK DISTRICT,URBAN,1 PERSON,2.6
KARAK DISTRICT,URBAN,2 PERSONS,2.45
KARAK DISTRICT,URBAN,3 PERSONS,2.42
KARAK DISTRICT,URBAN,4 PERSONS,2.75
KARAK DISTRICT,URBAN,5 PERSONS,2.92
KARAK DISTRICT,URBAN,6 PERSONS,3.08
KARAK DISTRICT,URBAN,7 PERSONS,3.4
KARAK DISTRICT,URBAN,8 PERSONS,3.5
KARAK DISTRICT,URBAN,9 PERSONS,3.75
KARAK DISTRICT,URBAN,10 PERSONS AND ABOVE,5.03
KASHMORE DISTRICT,RURAL,1 PERSON,1.2
KASHMORE DISTRICT,RURAL,2 PERSONS,1.25
KASHMORE DISTRICT,RURAL,3 PERSONS,1.27
KASHMORE DISTRICT,RURAL,4 PERSONS,1.3
KASHMORE DISTRICT,RURAL,5 PERSONS,1.33
KASHMORE DISTRICT,RURAL,6 PERSONS,1.35
KASHMORE DISTRICT,RURAL,7 PERSONS,1.39
KASHMORE DISTRICT,RURAL,8 PERSONS,1.45
KASHMORE DISTRICT,RURAL,9 PERSONS,1.52
KASHMORE DISTRICT,RURAL,10 PERSONS AND ABOVE,1.87
KASHMORE DISTRICT,URBAN,1 PERSON,1.57
KASHMORE DISTRICT,URBAN,2 PERSONS,1.45
KASHMORE DISTRICT,URBAN,3 PERSONS,1.53
KASHMORE DISTRICT,URBAN,4 PERSONS,1.59
KASHMORE DISTRICT,URBAN,5 PERSONS,1.67
KASHMORE DISTRICT,URBAN,6 PERSONS,1.7
KASHMORE DISTRICT,URBAN,7 PERSONS,1.7
KASHMORE DISTRICT,URBAN,8 PERSONS,1.74
KASHMORE DISTRICT,URBAN,9 PERSONS,1.89
KASHMORE DISTRICT,URBAN,10 PERSONS AND ABOVE,2.26
KASUR DISTRICT,RURAL,1 PERSON,1.5
KASUR DISTRICT,RURAL,2 PERSONS,1.52
KASUR DISTRICT,RURAL,3 PERSONS,1.63
KASUR DISTRICT,RURAL,4 PERSONS,1.76
KASUR DISTRICT,RURAL,5 PERSONS,1.87
KASUR DISTRICT,RURAL,6 PERSONS,1.98
KASUR DISTRICT,RURAL,7 PERSONS,2.12
KASUR DISTRICT,RURAL,8 PERSONS,2.26
KASUR DISTRICT,RURAL,9 PERSONS,2.47
KASUR DISTRICT,RURAL,10 PERSONS AND ABOVE,3.18
KASUR DISTRICT,URBAN,1 PERSON,1.7
KASUR DISTRICT,URBAN,2 PERSONS,1.71
KASUR DISTRICT,URBAN,3 PERSONS,1.79
KASUR DISTRICT,URBAN,4 PERSONS,1.92
KASUR DISTRICT,URBAN,5 PERSONS,2.04
KASUR DISTRICT,URBAN,6 PERSONS,2.15
KASUR DISTRICT,URBAN,7 PERSONS,2.26
KASUR DISTRICT,URBAN,8 PERSONS,2.41
KASUR DISTRICT,URBAN,9 PERSONS,2.64
KASUR DISTRICT,URBAN,10 PERSONS AND ABOVE,3.31
KECH DISTRICT,RURAL,1 PERSON,1.34
KECH DISTRICT,RURAL,2 PERSONS,1.59
KECH DISTRICT,RURAL,3 PERSONS,1.69
KECH DISTRICT,RURAL,4 PERSONS,1.91
KECH DISTRICT,RURAL,5 PERSONS,2.12
KECH DISTRICT,RURAL,6 PERSONS,2.41
KECH DISTRICT,RURAL,7 PERSONS,2.8
KECH DISTRICT,RURAL,8 PERSONS,3.16
KECH DISTRICT,RURAL,9 PERSONS,3.3
KECH DISTRICT,RURAL,10 PERSONS AND ABOVE,3.41
KECH DISTRICT,URBAN,1 PERSON,1.54
KECH DISTRICT,URBAN,2 PERSONS,1.73
KECH DISTRICT,URBAN,3 PERSONS,1.93
KECH DISTRICT,URBAN,4 PERSONS,2.14
KECH DISTRICT,URBAN,5 PERSONS,2.42
KECH DISTRICT,URBAN,6 PERSONS,2.66
KECH DISTRICT,URBAN,7 PERSONS,2.86
KECH DISTRICT,URBAN,8 PERSONS,3.16
KECH DISTRICT,URBAN,9 PERSONS,3.58
KECH DISTRICT,URBAN,10 PERSONS AND ABOVE,4.01
KHAIRPUR DISTRICT,RURAL,1 PERSON,1.17
KHAIRPUR DISTRICT,RURAL,2 PERSONS,1.2
KHAIRPUR DISTRICT,RURAL,3 PERSONS,1.25
KHAIRPUR DISTRICT,RURAL,4 PERSONS,1.3
KHAIRPUR DISTRICT,RURAL,5 PERSONS,1.36
KHAIRPUR DISTRICT,RURAL,6 PERSONS,1.43
KHAIRPUR DISTRICT,RURAL,7 PERSONS,1.5
KHAIRPUR DISTRICT,RURAL,8 PERSONS,1.55
KHAIRPUR DISTRICT,RURAL,9 PERSONS,1.65
KHAIRPUR DISTRICT,RURAL,10 PERSONS AND ABOVE,1.97
KHAIRPUR DISTRICT,URBAN,1 PERSON,1.44
KHAIRPUR DISTRICT,URBAN,2 PERSONS,1.41
KHAIRPUR DISTRICT,URBAN,3 PERSONS,1.49
KHAIRPUR DISTRICT,URBAN,4 PERSONS,1.6
KHAIRPUR DISTRICT,URBAN,5 PERSONS,1.72
KHAIRPUR DISTRICT,URBAN,6 PERSONS,1.82
KHAIRPUR DISTRICT,URBAN,7 PERSONS,1.88
KHAIRPUR DISTRICT,URBAN,8 PERSONS,1.94
KHAIRPUR DISTRICT,URBAN,9 PERSONS,2.03
KHAIRPUR DISTRICT,URBAN,10 PERSONS AND ABOVE,2.43
KHANEWAL DISTRICT,RURAL,1 PERSON,1.75
KHANEWAL DISTRICT,RURAL,2 PERSONS,1.72
KHANEWAL DISTRICT,RURAL,3 PERSONS,1.89
KHANEWAL DISTRICT,RURAL,4 PERSONS,2.03
KHANEWAL DISTRICT,RURAL,5 PERSONS,2.17
KHANEWAL DISTRICT,RURAL,6 PERSONS,2.29
KHANEWAL DISTRICT,RURAL,7 PERSONS,2.43
KHANEWAL DISTRICT,RURAL,8 PERSONS,2.59
KHANEWAL DISTRICT,RURAL,9 PERSONS,2.77
KHANEWAL DISTRICT,RURAL,10 PERSONS AND ABOVE,3.48
KHANEWAL DISTRICT,URBAN,1 PERSON,2.01
KHANEWAL DISTRICT,URBAN,2 PERSONS,2.03
KHANEWAL DISTRICT,URBAN,3 PERSONS,2.18
KHANEWAL DISTRICT,URBAN,4 PERSONS,2.33
KHANEWAL DISTRICT,URBAN,5 PERSONS,2.51
KHANEWAL DISTRICT,URBAN,6 PERSONS,2.58
KHANEWAL DISTRICT,URBAN,7 PERSONS,2.71
KHANEWAL DISTRICT,URBAN,8 PERSONS,2.83
KHANEWAL DISTRICT,URBAN,9 PERSONS,2.98
KHANEWAL DISTRICT,URBAN,10 PERSONS AND ABOVE,3.69
KHARAN DISTRICT,RURAL,1 PERSON,1.21
KHARAN DISTRICT,RURAL,2 PERSONS,1.4
KHARAN DISTRICT,RURAL,3 PERSONS,1.46
KHARAN DISTRICT,RURAL,4 PERSONS,1.49
KHARAN DISTRICT,RURAL,5 PERSONS,1.62
KHARAN DISTRICT,RURAL,6 PERSONS,1.71
KHARAN DISTRICT,RURAL,7 PERSONS,1.8
KHARAN DISTRICT,RURAL,8 PERSONS,1.9
KHARAN DISTRICT,RURAL,9 PERSONS,2.03
KHARAN DISTRICT,RURAL,10 PERSONS AND ABOVE,2.4
KHARAN DISTRICT,URBAN,1 PERSON,2.85
KHARAN DISTRICT,URBAN,2 PERSONS,2.2
KHARAN DISTRICT,URBAN,3 PERSONS,2.34
KHARAN DISTRICT,URBAN,4 PERSONS,2.58
KHARAN DISTRICT,URBAN,5 PERSONS,2.71
KHARAN DISTRICT,URBAN,6 PERSONS,2.86
KHARAN DISTRICT,URBAN,7 PERSONS,3
KHARAN DISTRICT,URBAN,8 PERSONS,3.28
KHARAN DISTRICT,URBAN,9 PERSONS,3.51
KHARAN DISTRICT,URBAN,10 PERSONS AND ABOVE,4.34
KHUSHAB DISTRICT,RURAL,1 PERSON,2.13
KHUSHAB DISTRICT,RURAL,2 PERSONS,2.22
KHUSHAB DISTRICT,RURAL,3 PERSONS,2.4
KHUSHAB DISTRICT,RURAL,4 PERSONS,2.56
KHUSHAB DISTRICT,RURAL,5 PERSONS,2.73
KHUSHAB DISTRICT,RURAL,6 PERSONS,2.92
KHUSHAB DISTRICT,RURAL,7 PERSONS,3.09
KHUSHAB DISTRICT,RURAL,8 PERSONS,3.25
KHUSHAB DISTRICT,RURAL,9 PERSONS,3.47
KHUSHAB DISTRICT,RURAL,10 PERSONS AND ABOVE,4.23
KHUSHAB DISTRICT,URBAN,1 PERSON,2.07
KHUSHAB DISTRICT,URBAN,2 PERSONS,2.18
KHUSHAB DISTRICT,URBAN,3 PERSONS,2.33
KHUSHAB DISTRICT,URBAN,4 PERSONS,2.48
KHUSHAB DISTRICT,URBAN,5 PERSONS,2.61
KHUSHAB DISTRICT,URBAN,6 PERSONS,2.74
KHUSHAB DISTRICT,URBAN,7 PERSONS,2.93
KHUSHAB DISTRICT,URBAN,8 PERSONS,3.08
KHUSHAB DISTRICT,URBAN,9 PERSONS,3.24
KHUSHAB DISTRICT,URBAN,10 PERSONS AND ABOVE,3.95
KHUZDAR DISTRICT,RURAL,1 PERSON,1.65
KHUZDAR DISTRICT,RURAL,2 PERSONS,1.8
KHUZDAR DISTRICT,RURAL,3 PERSONS,1.94
KHUZDAR DISTRICT,RURAL,4 PERSONS,2.06
KHUZDAR DISTRICT,RURAL,5 PERSONS,2.22
KHUZDAR DISTRICT,RURAL,6 PERSONS,2.39
KHUZDAR DISTRICT,RURAL,7 PERSONS,2.6
KHUZDAR DISTRICT,RURAL,8 PERSONS,2.79
KHUZDAR DISTRICT,RURAL,9 PERSONS,3.01
KHUZDAR DISTRICT,RURAL,10 PERSONS AND ABOVE,3.74
KHUZDAR DISTRICT,URBAN,1 PERSON,2.43
KHUZDAR DISTRICT,URBAN,2 PERSONS,2.62
KHUZDAR DISTRICT,URBAN,3 PERSONS,2.85
KHUZDAR DISTRICT,URBAN,4 PERSONS,3
KHUZDAR DISTRICT,URBAN,5 PERSONS,3.17
KHUZDAR DISTRICT,URBAN,6 PERSONS,3.28
KHUZDAR DISTRICT,URBAN,7 PERSONS,3.47
KHUZDAR DISTRICT,URBAN,8 PERSONS,3.68
KHUZDAR DISTRICT,URBAN,9 PERSONS,3.99
KHUZDAR DISTRICT,URBAN,10 PERSONS AND ABOVE,4.54
KHYBER AGENCY,RURAL,1 PERSON,2.18
KHYBER AGENCY,RURAL,2 PERSONS,1.89
KHYBER AGENCY,RURAL,3 PERSONS,1.95
KHYBER AGENCY,RURAL,4 PERSONS,2.09
KHYBER AGENCY,RURAL,5 PERSONS,2.21
KHYBER AGENCY,RURAL,6 PERSONS,2.39
KHYBER AGENCY,RURAL,7 PERSONS,2.53
KHYBER AGENCY,RURAL,8 PERSONS,2.72
KHYBER AGENCY,RURAL,9 PERSONS,2.97
KHYBER AGENCY,RURAL,10 PERSONS AND ABOVE,4.14
KHYBER AGENCY,URBAN,1 PERSON,2.12
KHYBER AGENCY,URBAN,2 PERSONS,1.49
KHYBER AGENCY,URBAN,3 PERSONS,1.51
KHYBER AGENCY,URBAN,4 PERSONS,1.63
KHYBER AGENCY,URBAN,5 PERSONS,1.84
KHYBER AGENCY,URBAN,6 PERSONS,1.98
KHYBER AGENCY,URBAN,7 PERSONS,2.23
KHYBER AGENCY,URBAN,8 PERSONS,2.36
KHYBER AGENCY,URBAN,9 PERSONS,2.62
KHYBER AGENCY,URBAN,10 PERSONS AND ABOVE,3.99
KILLA ABDULLAH DISTRICT,RURAL,1 PERSON,2.38
KILLA ABDULLAH DISTRICT,RURAL,2 PERSONS,2.24
KILLA ABDULLAH DISTRICT,RURAL,3 PERSONS,2.49
KILLA ABDULLAH DISTRICT,RURAL,4 PERSONS,2.61
KILLA ABDULLAH DISTRICT,RURAL,5 PERSONS,2.82
KILLA ABDULLAH DISTRICT,RURAL,6 PERSONS,2.97
KILLA ABDULLAH DISTRICT,RURAL,7 PERSONS,3.16
KILLA ABDULLAH DISTRICT,RURAL,8 PERSONS,3.37
KILLA ABDULLAH DISTRICT,RURAL,9 PERSONS,3.65
KILLA ABDULLAH DISTRICT,RURAL,10 PERSONS AND ABOVE,4.44
KILLA ABDULLAH DISTRICT,URBAN,1 PERSON,2.84
KILLA ABDULLAH DISTRICT,URBAN,2 PERSONS,2.73
KILLA ABDULLAH DISTRICT,URBAN,3 PERSONS,3.01
KILLA ABDULLAH DISTRICT,URBAN,4 PERSONS,3.38
KILLA ABDULLAH DISTRICT,URBAN,5 PERSONS,3.46
KILLA ABDULLAH DISTRICT,URBAN,6 PERSONS,3.65
KILLA ABDULLAH DISTRICT,URBAN,7 PERSONS,3.93
KILLA ABDULLAH DISTRICT,URBAN,8 PERSONS,3.95
KILLA ABDULLAH DISTRICT,URBAN,9 PERSONS,4.25
KILLA ABDULLAH DISTRICT,URBAN,10 PERSONS AND ABOVE,4.95
KILLA SAIFULLAH DISTRICT,RURAL,1 PERSON,1.71
KILLA SAIFULLAH DISTRICT,RURAL,2 PERSONS,2.09
KILLA SAIFULLAH DISTRICT,RURAL,3 PERSONS,2.23
KILLA SAIFULLAH DISTRICT,RURAL,4 PERSONS,2.33
KILLA SAIFULLAH DISTRICT,RURAL,5 PERSONS,2.44
KILLA SAIFULLAH DISTRICT,RURAL,6 PERSONS,2.62
KILLA SAIFULLAH DISTRICT,RURAL,7 PERSONS,2.72
KILLA SAIFULLAH DISTRICT,RURAL,8 PERSONS,2.87
KILLA SAIFULLAH DISTRICT,RURAL,9 PERSONS,3.08
KILLA SAIFULLAH DISTRICT,RURAL,10 PERSONS AND ABOVE,3.59
KILLA SAIFULLAH DISTRICT,URBAN,1 PERSON,2.15
KILLA SAIFULLAH DISTRICT,URBAN,2 PERSONS,2.37
KILLA SAIFULLAH DISTRICT,URBAN,3 PERSONS,2.52
KILLA SAIFULLAH DISTRICT,URBAN,4 PERSONS,2.59
KILLA SAIFULLAH DISTRICT,URBAN,5 PERSONS,2.78
KILLA SAIFULLAH DISTRICT,URBAN,6 PERSONS,2.95
KILLA SAIFULLAH DISTRICT,URBAN,7 PERSONS,3.16
KILLA SAIFULLAH DISTRICT,URBAN,8 PERSONS,3.31
KILLA SAIFULLAH DISTRICT,URBAN,9 PERSONS,3.44
KILLA SAIFULLAH DISTRICT,URBAN,10 PERSONS AND ABOVE,4.25
KOHAT DISTRICT,RURAL,1 PERSON,1.95
KOHAT DISTRICT,RURAL,2 PERSONS,1.92
KOHAT DISTRICT,RURAL,3 PERSONS,2.09
KOHAT DISTRICT,RURAL,4 PERSONS,2.26
KOHAT DISTRICT,RURAL,5 PERSONS,2.41
KOHAT DISTRICT,RURAL,6 PERSONS,2.56
KOHAT DISTRICT,RURAL,7 PERSONS,2.74
KOHAT DISTRICT,RURAL,8 PERSONS,2.92
KOHAT DISTRICT,RURAL,9 PERSONS,3.2
KOHAT DISTRICT,RURAL,10 PERSONS AND ABOVE,4.26
KOHAT DISTRICT,URBAN,1 PERSON,2.19
KOHAT DISTRICT,URBAN,2 PERSONS,2.37
KOHAT DISTRICT,URBAN,3 PERSONS,2.52
KOHAT DISTRICT,URBAN,4 PERSONS,2.57
KOHAT DISTRICT,URBAN,5 PERSONS,2.76
KOHAT DISTRICT,URBAN,6 PERSONS,2.88
KOHAT DISTRICT,URBAN,7 PERSONS,3.01
KOHAT DISTRICT,URBAN,8 PERSONS,3.22
KOHAT DISTRICT,URBAN,9 PERSONS,3.47
KOHAT DISTRICT,URBAN,10 PERSONS AND ABOVE,4.3
KOHISTAN DISTRICT,RURAL,1 PERSON,3.2
KOHISTAN DISTRICT,RURAL,2 PERSONS,1.7
KOHISTAN DISTRICT,RURAL,3 PERSONS,1.8
KOHISTAN DISTRICT,RURAL,4 PERSONS,1.8
KOHISTAN DISTRICT,RURAL,5 PERSONS,2
KOHISTAN DISTRICT,RURAL,6 PERSONS,2
KOHISTAN DISTRICT,RURAL,7 PERSONS,2.1
KOHISTAN DISTRICT,RURAL,8 PERSONS,2.2
KOHISTAN DISTRICT,RURAL,9 PERSONS,2.5
KOHISTAN DISTRICT,RURAL,10 PERSONS AND ABOVE,2.9
KOHLU DISTRICT,RURAL,1 PERSON,2.67
KOHLU DISTRICT,RURAL,2 PERSONS,1.83
KOHLU DISTRICT,RURAL,3 PERSONS,2.01
KOHLU DISTRICT,RURAL,4 PERSONS,2.28
KOHLU DISTRICT,RURAL,5 PERSONS,2.59
KOHLU DISTRICT,RURAL,6 PERSONS,2.85
KOHLU DISTRICT,RURAL,7 PERSONS,3.16
KOHLU DISTRICT,RURAL,8 PERSONS,3.37
KOHLU DISTRICT,RURAL,9 PERSONS,3.49
KOHLU DISTRICT,RURAL,10 PERSONS AND ABOVE,4.32
KOHLU DISTRICT,URBAN,1 PERSON,1.8
KOHLU DISTRICT,URBAN,2 PERSONS,1.45
KOHLU DISTRICT,URBAN,3 PERSONS,1.61
KOHLU DISTRICT,URBAN,4 PERSONS,1.76
KOHLU DISTRICT,URBAN,5 PERSONS,1.94
KOHLU DISTRICT,URBAN,6 PERSONS,2.25
KOHLU DISTRICT,URBAN,7 PERSONS,2.68
KOHLU DISTRICT,URBAN,8 PERSONS,2.67
KOHLU DISTRICT,URBAN,9 PERSONS,2.91
KOHLU DISTRICT,URBAN,10 PERSONS AND ABOVE,4.36
KORANGI DISTRICT,RURAL,1 PERSON,
KORANGI DISTRICT,RURAL,2 PERSONS,
KORANGI DISTRICT,RURAL,3 PERSONS,
KORANGI DISTRICT,RURAL,4 PERSONS,
KORANGI DISTRICT,RURAL,5 PERSONS,
KORANGI DISTRICT,RURAL,6 PERSONS,
KORANGI DISTRICT,RURAL,7 PERSONS,
KORANGI DISTRICT,RURAL,8 PERSONS,
KORANGI DISTRICT,RURAL,9 PERSONS,
KORANGI DISTRICT,RURAL,10 PERSONS AND ABOVE,
KORANGI DISTRICT,URBAN,1 PERSON,1.76
KORANGI DISTRICT,URBAN,2 PERSONS,1.92
KORANGI DISTRICT,URBAN,3 PERSONS,2.01
KORANGI DISTRICT,URBAN,4 PERSONS,2.16
KORANGI DISTRICT,URBAN,5 PERSONS,2.32
KORANGI DISTRICT,URBAN,6 PERSONS,2.48
KORANGI DISTRICT,URBAN,7 PERSONS,2.64
KORANGI DISTRICT,URBAN,8 PERSONS,2.8
KORANGI DISTRICT,URBAN,9 PERSONS,3.03
KORANGI DISTRICT,URBAN,10 PERSONS AND ABOVE,3.87
KURRAM AGENCY,RURAL,1 PERSON,2.65
KURRAM AGENCY,RURAL,2 PERSONS,2.36
KURRAM AGENCY,RURAL,3 PERSONS,2.49
KURRAM AGENCY,RURAL,4 PERSONS,2.71
KURRAM AGENCY,RURAL,5 PERSONS,2.85
KURRAM AGENCY,RURAL,6 PERSONS,3.05
KURRAM AGENCY,RURAL,7 PERSONS,3.25
KURRAM AGENCY,RURAL,8 PERSONS,3.41
KURRAM AGENCY,RURAL,9 PERSONS,3.71
KURRAM AGENCY,RURAL,10 PERSONS AND ABOVE,4.93
KURRAM AGENCY,URBAN,1 PERSON,2.27
KURRAM AGENCY,URBAN,2 PERSONS,1.95
KURRAM AGENCY,URBAN,3 PERSONS,2.32
KURRAM AGENCY,URBAN,4 PERSONS,2.59
KURRAM AGENCY,URBAN,5 PERSONS,2.71
KURRAM AGENCY,URBAN,6 PERSONS,2.97
KURRAM AGENCY,URBAN,7 PERSONS,3.11
KURRAM AGENCY,URBAN,8 PERSONS,3.33
KURRAM AGENCY,URBAN,9 PERSONS,3.52
KURRAM AGENCY,URBAN,10 PERSONS AND ABOVE,4.59
LAHORE DISTRICT,RURAL,1 PERSON,
LAHORE DISTRICT,RURAL,2 PERSONS,
LAHORE DISTRICT,RURAL,3 PERSONS,
LAHORE DISTRICT,RURAL,4 PERSONS,
LAHORE DISTRICT,RURAL,5 PERSONS,
LAHORE DISTRICT,RURAL,6 PERSONS,
LAHORE DISTRICT,RURAL,7 PERSONS,
LAHORE DISTRICT,RURAL,8 PERSONS,
LAHORE DISTRICT,RURAL,9 PERSONS,
LAHORE DISTRICT,RURAL,10 PERSONS AND ABOVE,
LAHORE DISTRICT,URBAN,1 PERSON,2.05
LAHORE DISTRICT,URBAN,2 PERSONS,2.16
LAHORE DISTRICT,URBAN,3 PERSONS,2.25
LAHORE DISTRICT,URBAN,4 PERSONS,2.36
LAHORE DISTRICT,URBAN,5 PERSONS,2.47
LAHORE DISTRICT,URBAN,6 PERSONS,2.56
LAHORE DISTRICT,URBAN,7 PERSONS,2.69
LAHORE DISTRICT,URBAN,8 PERSONS,2.86
LAHORE DISTRICT,URBAN,9 PERSONS,3.08
LAHORE DISTRICT,URBAN,10 PERSONS AND ABOVE,3.87
LAKKI MARWAT DISTRICT,RURAL,1 PERSON,1.9
LAKKI MARWAT DISTRICT,RURAL,2 PERSONS,1.81
LAKKI MARWAT DISTRICT,RURAL,3 PERSONS,1.97
LAKKI MARWAT DISTRICT,RURAL,4 PERSONS,2.15
LAKKI MARWAT DISTRICT,RURAL,5 PERSONS,2.34
LAKKI MARWAT DISTRICT,RURAL,6 PERSONS,2.56
LAKKI MARWAT DISTRICT,RURAL,7 PERSONS,2.79
LAKKI MARWAT DISTRICT,RURAL,8 PERSONS,3
LAKKI MARWAT DISTRICT,RURAL,9 PERSONS,3.27
LAKKI MARWAT DISTRICT,RURAL,10 PERSONS AND ABOVE,4.49
LAKKI MARWAT DISTRICT,URBAN,1 PERSON,2.16
LAKKI MARWAT DISTRICT,URBAN,2 PERSONS,2.17
LAKKI MARWAT DISTRICT,URBAN,3 PERSONS,2.28
LAKKI MARWAT DISTRICT,URBAN,4 PERSONS,2.39
LAKKI MARWAT DISTRICT,URBAN,5 PERSONS,2.71
